GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,I4YE001,NAME_M,I4YM001
"G3700230","2010",,,"North Carolina","37","Burke County","023",,,,,,,,,,,,,,,,,"Burke County, North Carolina",0.4500,"Burke County, North Carolina",0.0410
"G3700250","2010",,,"North Carolina","37","Cabarrus County","025",,,,,,,,,,,,,,,,,"Cabarrus County, North Carolina",0.4170,"Cabarrus County, North Carolina",0.0190
"G3700270","2010",,,"North Carolina","37","Caldwell County","027",,,,,,,,,,,,,,,,,"Caldwell County, North Carolina",0.4350,"Caldwell County, North Carolina",0.0294
"G3700310","2010",,,"North Carolina","37","Carteret County","031",,,,,,,,,,,,,,,,,"Carteret County, North Carolina",0.4420,"Carteret County, North Carolina",0.0295
"G3700350","2010",,,"North Carolina","37","Catawba County","035",,,,,,,,,,,,,,,,,"Catawba County, North Carolina",0.4400,"Catawba County, North Carolina",0.0254
"G3700450","2010",,,"North Carolina","37","Cleveland County","045",,,,,,,,,,,,,,,,,"Cleveland County, North Carolina",0.4520,"Cleveland County, North Carolina",0.0334
"G3700490","2010",,,"North Carolina","37","Craven County","049",,,,,,,,,,,,,,,,,"Craven County, North Carolina",0.5080,"Craven County, North Carolina",0.0493
"G3700510","2010",,,"North Carolina","37","Cumberland County","051",,,,,,,,,,,,,,,,,"Cumberland County, North Carolina",0.4380,"Cumberland County, North Carolina",0.0177
"G3700570","2010",,,"North Carolina","37","Davidson County","057",,,,,,,,,,,,,,,,,"Davidson County, North Carolina",0.4210,"Davidson County, North Carolina",0.0183
"G3700630","2010",,,"North Carolina","37","Durham County","063",,,,,,,,,,,,,,,,,"Durham County, North Carolina",0.4540,"Durham County, North Carolina",0.0197
"G3700670","2010",,,"North Carolina","37","Forsyth County","067",,,,,,,,,,,,,,,,,"Forsyth County, North Carolina",0.4790,"Forsyth County, North Carolina",0.0185
"G3700710","2010",,,"North Carolina","37","Gaston County","071",,,,,,,,,,,,,,,,,"Gaston County, North Carolina",0.4610,"Gaston County, North Carolina",0.0253
"G3700810","2010",,,"North Carolina","37","Guilford County","081",,,,,,,,,,,,,,,,,"Guilford County, North Carolina",0.4730,"Guilford County, North Carolina",0.0152
"G3700850","2010",,,"North Carolina","37","Harnett County","085",,,,,,,,,,,,,,,,,"Harnett County, North Carolina",0.4190,"Harnett County, North Carolina",0.0172
"G3700890","2010",,,"North Carolina","37","Henderson County","089",,,,,,,,,,,,,,,,,"Henderson County, North Carolina",0.4540,"Henderson County, North Carolina",0.0283
"G3700970","2010",,,"North Carolina","37","Iredell County","097",,,,,,,,,,,,,,,,,"Iredell County, North Carolina",0.4720,"Iredell County, North Carolina",0.0402
"G3701010","2010",,,"North Carolina","37","Johnston County","101",,,,,,,,,,,,,,,,,"Johnston County, North Carolina",0.3990,"Johnston County, North Carolina",0.0173
"G3701090","2010",,,"North Carolina","37","Lincoln County","109",,,,,,,,,,,,,,,,,"Lincoln County, North Carolina",0.4230,"Lincoln County, North Carolina",0.0259
"G3701190","2010",,,"North Carolina","37","Mecklenburg County","119",,,,,,,,,,,,,,,,,"Mecklenburg County, North Carolina",0.4890,"Mecklenburg County, North Carolina",0.0120
"G3701250","2010",,,"North Carolina","37","Moore County","125",,,,,,,,,,,,,,,,,"Moore County, North Carolina",0.4960,"Moore County, North Carolina",0.0289
"G3701270","2010",,,"North Carolina","37","Nash County","127",,,,,,,,,,,,,,,,,"Nash County, North Carolina",0.4370,"Nash County, North Carolina",0.0256
"G3701290","2010",,,"North Carolina","37","New Hanover County","129",,,,,,,,,,,,,,,,,"New Hanover County, North Carolina",0.4710,"New Hanover County, North Carolina",0.0207
"G3701330","2010",,,"North Carolina","37","Onslow County","133",,,,,,,,,,,,,,,,,"Onslow County, North Carolina",0.3980,"Onslow County, North Carolina",0.0178
"G3701350","2010",,,"North Carolina","37","Orange County","135",,,,,,,,,,,,,,,,,"Orange County, North Carolina",0.5320,"Orange County, North Carolina",0.0242
"G3701470","2010",,,"North Carolina","37","Pitt County","147",,,,,,,,,,,,,,,,,"Pitt County, North Carolina",0.4980,"Pitt County, North Carolina",0.0281
"G3701510","2010",,,"North Carolina","37","Randolph County","151",,,,,,,,,,,,,,,,,"Randolph County, North Carolina",0.4170,"Randolph County, North Carolina",0.0193
"G3701550","2010",,,"North Carolina","37","Robeson County","155",,,,,,,,,,,,,,,,,"Robeson County, North Carolina",0.4810,"Robeson County, North Carolina",0.0294
"G3701570","2010",,,"North Carolina","37","Rockingham County","157",,,,,,,,,,,,,,,,,"Rockingham County, North Carolina",0.4360,"Rockingham County, North Carolina",0.0254
"G3701590","2010",,,"North Carolina","37","Rowan County","159",,,,,,,,,,,,,,,,,"Rowan County, North Carolina",0.4520,"Rowan County, North Carolina",0.0269
"G3701610","2010",,,"North Carolina","37","Rutherford County","161",,,,,,,,,,,,,,,,,"Rutherford County, North Carolina",0.4380,"Rutherford County, North Carolina",0.0312
"G3701710","2010",,,"North Carolina","37","Surry County","171",,,,,,,,,,,,,,,,,"Surry County, North Carolina",0.4410,"Surry County, North Carolina",0.0235
"G3701790","2010",,,"North Carolina","37","Union County","179",,,,,,,,,,,,,,,,,"Union County, North Carolina",0.4120,"Union County, North Carolina",0.0261
"G3701830","2010",,,"North Carolina","37","Wake County","183",,,,,,,,,,,,,,,,,"Wake County, North Carolina",0.4420,"Wake County, North Carolina",0.0104
"G3701910","2010",,,"North Carolina","37","Wayne County","191",,,,,,,,,,,,,,,,,"Wayne County, North Carolina",0.4460,"Wayne County, North Carolina",0.0205
"G3701930","2010",,,"North Carolina","37","Wilkes County","193",,,,,,,,,,,,,,,,,"Wilkes County, North Carolina",0.4330,"Wilkes County, North Carolina",0.0247
"G3701950","2010",,,"North Carolina","37","Wilson County","195",,,,,,,,,,,,,,,,,"Wilson County, North Carolina",0.4610,"Wilson County, North Carolina",0.0418
"G3800150","2010",,,"North Dakota","38","Burleigh County","015",,,,,,,,,,,,,,,,,"Burleigh County, North Dakota",0.4230,"Burleigh County, North Dakota",0.0289
"G3800170","2010",,,"North Dakota","38","Cass County","017",,,,,,,,,,,,,,,,,"Cass County, North Dakota",0.4380,"Cass County, North Dakota",0.0280
"G3800350","2010",,,"North Dakota","38","Grand Forks County","035",,,,,,,,,,,,,,,,,"Grand Forks County, North Dakota",0.4530,"Grand Forks County, North Dakota",0.0406
"G3900030","2010",,,"Ohio","39","Allen County","003",,,,,,,,,,,,,,,,,"Allen County, Ohio",0.4420,"Allen County, Ohio",0.0224
"G3900070","2010",,,"Ohio","39","Ashtabula County","007",,,,,,,,,,,,,,,,,"Ashtabula County, Ohio",0.4230,"Ashtabula County, Ohio",0.0261
"G3900130","2010",,,"Ohio","39","Belmont County","013",,,,,,,,,,,,,,,,,"Belmont County, Ohio",0.4250,"Belmont County, Ohio",0.0256
"G3900170","2010",,,"Ohio","39","Butler County","017",,,,,,,,,,,,,,,,,"Butler County, Ohio",0.4280,"Butler County, Ohio",0.0143
"G3900230","2010",,,"Ohio","39","Clark County","023",,,,,,,,,,,,,,,,,"Clark County, Ohio",0.4320,"Clark County, Ohio",0.0167
"G3900250","2010",,,"Ohio","39","Clermont County","025",,,,,,,,,,,,,,,,,"Clermont County, Ohio",0.4060,"Clermont County, Ohio",0.0159
"G3900290","2010",,,"Ohio","39","Columbiana County","029",,,,,,,,,,,,,,,,,"Columbiana County, Ohio",0.4120,"Columbiana County, Ohio",0.0296
"G3900350","2010",,,"Ohio","39","Cuyahoga County","035",,,,,,,,,,,,,,,,,"Cuyahoga County, Ohio",0.4840,"Cuyahoga County, Ohio",0.0089
"G3900410","2010",,,"Ohio","39","Delaware County","041",,,,,,,,,,,,,,,,,"Delaware County, Ohio",0.4300,"Delaware County, Ohio",0.0217
"G3900430","2010",,,"Ohio","39","Erie County","043",,,,,,,,,,,,,,,,,"Erie County, Ohio",0.4410,"Erie County, Ohio",0.0263
"G3900450","2010",,,"Ohio","39","Fairfield County","045",,,,,,,,,,,,,,,,,"Fairfield County, Ohio",0.4170,"Fairfield County, Ohio",0.0315
"G3900490","2010",,,"Ohio","39","Franklin County","049",,,,,,,,,,,,,,,,,"Franklin County, Ohio",0.4630,"Franklin County, Ohio",0.0078
"G3900550","2010",,,"Ohio","39","Geauga County","055",,,,,,,,,,,,,,,,,"Geauga County, Ohio",0.4510,"Geauga County, Ohio",0.0382
"G3900570","2010",,,"Ohio","39","Greene County","057",,,,,,,,,,,,,,,,,"Greene County, Ohio",0.4450,"Greene County, Ohio",0.0192
"G3900610","2010",,,"Ohio","39","Hamilton County","061",,,,,,,,,,,,,,,,,"Hamilton County, Ohio",0.5060,"Hamilton County, Ohio",0.0136
"G3900630","2010",,,"Ohio","39","Hancock County","063",,,,,,,,,,,,,,,,,"Hancock County, Ohio",0.4120,"Hancock County, Ohio",0.0373
"G3900810","2010",,,"Ohio","39","Jefferson County","081",,,,,,,,,,,,,,,,,"Jefferson County, Ohio",0.4390,"Jefferson County, Ohio",0.0305
"G3900850","2010",,,"Ohio","39","Lake County","085",,,,,,,,,,,,,,,,,"Lake County, Ohio",0.4120,"Lake County, Ohio",0.0219
"G3900890","2010",,,"Ohio","39","Licking County","089",,,,,,,,,,,,,,,,,"Licking County, Ohio",0.4070,"Licking County, Ohio",0.0179
"G3900930","2010",,,"Ohio","39","Lorain County","093",,,,,,,,,,,,,,,,,"Lorain County, Ohio",0.4180,"Lorain County, Ohio",0.0110
"G3900950","2010",,,"Ohio","39","Lucas County","095",,,,,,,,,,,,,,,,,"Lucas County, Ohio",0.4820,"Lucas County, Ohio",0.0132
"G3900990","2010",,,"Ohio","39","Mahoning County","099",,,,,,,,,,,,,,,,,"Mahoning County, Ohio",0.4620,"Mahoning County, Ohio",0.0230
"G3901010","2010",,,"Ohio","39","Marion County","101",,,,,,,,,,,,,,,,,"Marion County, Ohio",0.4060,"Marion County, Ohio",0.0200
"G3901030","2010",,,"Ohio","39","Medina County","103",,,,,,,,,,,,,,,,,"Medina County, Ohio",0.3930,"Medina County, Ohio",0.0216
"G3901090","2010",,,"Ohio","39","Miami County","109",,,,,,,,,,,,,,,,,"Miami County, Ohio",0.4000,"Miami County, Ohio",0.0266
"G3901130","2010",,,"Ohio","39","Montgomery County","113",,,,,,,,,,,,,,,,,"Montgomery County, Ohio",0.4440,"Montgomery County, Ohio",0.0120
"G3901190","2010",,,"Ohio","39","Muskingum County","119",,,,,,,,,,,,,,,,,"Muskingum County, Ohio",0.4030,"Muskingum County, Ohio",0.0230
"G3901330","2010",,,"Ohio","39","Portage County","133",,,,,,,,,,,,,,,,,"Portage County, Ohio",0.4270,"Portage County, Ohio",0.0189
"G3901390","2010",,,"Ohio","39","Richland County","139",,,,,,,,,,,,,,,,,"Richland County, Ohio",0.4040,"Richland County, Ohio",0.0237
"G3901410","2010",,,"Ohio","39","Ross County","141",,,,,,,,,,,,,,,,,"Ross County, Ohio",0.4420,"Ross County, Ohio",0.0252
"G3901450","2010",,,"Ohio","39","Scioto County","145",,,,,,,,,,,,,,,,,"Scioto County, Ohio",0.4450,"Scioto County, Ohio",0.0360
"G3901510","2010",,,"Ohio","39","Stark County","151",,,,,,,,,,,,,,,,,"Stark County, Ohio",0.4290,"Stark County, Ohio",0.0167
"G3901530","2010",,,"Ohio","39","Summit County","153",,,,,,,,,,,,,,,,,"Summit County, Ohio",0.4540,"Summit County, Ohio",0.0116
"G3901550","2010",,,"Ohio","39","Trumbull County","155",,,,,,,,,,,,,,,,,"Trumbull County, Ohio",0.4110,"Trumbull County, Ohio",0.0162
"G3901570","2010",,,"Ohio","39","Tuscarawas County","157",,,,,,,,,,,,,,,,,"Tuscarawas County, Ohio",0.3900,"Tuscarawas County, Ohio",0.0187
"G3901650","2010",,,"Ohio","39","Warren County","165",,,,,,,,,,,,,,,,,"Warren County, Ohio",0.3970,"Warren County, Ohio",0.0136
"G3901690","2010",,,"Ohio","39","Wayne County","169",,,,,,,,,,,,,,,,,"Wayne County, Ohio",0.4160,"Wayne County, Ohio",0.0232
"G3901730","2010",,,"Ohio","39","Wood County","173",,,,,,,,,,,,,,,,,"Wood County, Ohio",0.4230,"Wood County, Ohio",0.0181
"G4000170","2010",,,"Oklahoma","40","Canadian County","017",,,,,,,,,,,,,,,,,"Canadian County, Oklahoma",0.3900,"Canadian County, Oklahoma",0.0225
"G4000270","2010",,,"Oklahoma","40","Cleveland County","027",,,,,,,,,,,,,,,,,"Cleveland County, Oklahoma",0.4370,"Cleveland County, Oklahoma",0.0294
"G4000310","2010",,,"Oklahoma","40","Comanche County","031",,,,,,,,,,,,,,,,,"Comanche County, Oklahoma",0.4310,"Comanche County, Oklahoma",0.0235
"G4000370","2010",,,"Oklahoma","40","Creek County","037",,,,,,,,,,,,,,,,,"Creek County, Oklahoma",0.4260,"Creek County, Oklahoma",0.0268
"G4001010","2010",,,"Oklahoma","40","Muskogee County","101",,,,,,,,,,,,,,,,,"Muskogee County, Oklahoma",0.4260,"Muskogee County, Oklahoma",0.0257
"G4001090","2010",,,"Oklahoma","40","Oklahoma County","109",,,,,,,,,,,,,,,,,"Oklahoma County, Oklahoma",0.4830,"Oklahoma County, Oklahoma",0.0116
"G4001190","2010",,,"Oklahoma","40","Payne County","119",,,,,,,,,,,,,,,,,"Payne County, Oklahoma",0.4790,"Payne County, Oklahoma",0.0329
"G4001250","2010",,,"Oklahoma","40","Pottawatomie County","125",,,,,,,,,,,,,,,,,"Pottawatomie County, Oklahoma",0.4560,"Pottawatomie County, Oklahoma",0.0467
"G4001310","2010",,,"Oklahoma","40","Rogers County","131",,,,,,,,,,,,,,,,,"Rogers County, Oklahoma",0.3920,"Rogers County, Oklahoma",0.0265
"G4001430","2010",,,"Oklahoma","40","Tulsa County","143",,,,,,,,,,,,,,,,,"Tulsa County, Oklahoma",0.4780,"Tulsa County, Oklahoma",0.0135
"G4001450","2010",,,"Oklahoma","40","Wagoner County","145",,,,,,,,,,,,,,,,,"Wagoner County, Oklahoma",0.3950,"Wagoner County, Oklahoma",0.0390
"G4100030","2010",,,"Oregon","41","Benton County","003",,,,,,,,,,,,,,,,,"Benton County, Oregon",0.4960,"Benton County, Oregon",0.0341
"G4100050","2010",,,"Oregon","41","Clackamas County","005",,,,,,,,,,,,,,,,,"Clackamas County, Oregon",0.4280,"Clackamas County, Oregon",0.0110
"G4100170","2010",,,"Oregon","41","Deschutes County","017",,,,,,,,,,,,,,,,,"Deschutes County, Oregon",0.4490,"Deschutes County, Oregon",0.0282
"G4100190","2010",,,"Oregon","41","Douglas County","019",,,,,,,,,,,,,,,,,"Douglas County, Oregon",0.4170,"Douglas County, Oregon",0.0245
"G4100290","2010",,,"Oregon","41","Jackson County","029",,,,,,,,,,,,,,,,,"Jackson County, Oregon",0.4540,"Jackson County, Oregon",0.0196
"G4100330","2010",,,"Oregon","41","Josephine County","033",,,,,,,,,,,,,,,,,"Josephine County, Oregon",0.4300,"Josephine County, Oregon",0.0251
"G4100350","2010",,,"Oregon","41","Klamath County","035",,,,,,,,,,,,,,,,,"Klamath County, Oregon",0.4280,"Klamath County, Oregon",0.0283
"G4100390","2010",,,"Oregon","41","Lane County","039",,,,,,,,,,,,,,,,,"Lane County, Oregon",0.4620,"Lane County, Oregon",0.0167
"G4100430","2010",,,"Oregon","41","Linn County","043",,,,,,,,,,,,,,,,,"Linn County, Oregon",0.3920,"Linn County, Oregon",0.0186
"G4100470","2010",,,"Oregon","41","Marion County","047",,,,,,,,,,,,,,,,,"Marion County, Oregon",0.4280,"Marion County, Oregon",0.0178
"G4100510","2010",,,"Oregon","41","Multnomah County","051",,,,,,,,,,,,,,,,,"Multnomah County, Oregon",0.4790,"Multnomah County, Oregon",0.0107
"G4100530","2010",,,"Oregon","41","Polk County","053",,,,,,,,,,,,,,,,,"Polk County, Oregon",0.4050,"Polk County, Oregon",0.0250
"G4100590","2010",,,"Oregon","41","Umatilla County","059",,,,,,,,,,,,,,,,,"Umatilla County, Oregon",0.4360,"Umatilla County, Oregon",0.0303
"G4100670","2010",,,"Oregon","41","Washington County","067",,,,,,,,,,,,,,,,,"Washington County, Oregon",0.4140,"Washington County, Oregon",0.0121
"G4100710","2010",,,"Oregon","41","Yamhill County","071",,,,,,,,,,,,,,,,,"Yamhill County, Oregon",0.3770,"Yamhill County, Oregon",0.0226
"G4200010","2010",,,"Pennsylvania","42","Adams County","001",,,,,,,,,,,,,,,,,"Adams County, Pennsylvania",0.3880,"Adams County, Pennsylvania",0.0193
"G4200030","2010",,,"Pennsylvania","42","Allegheny County","003",,,,,,,,,,,,,,,,,"Allegheny County, Pennsylvania",0.4880,"Allegheny County, Pennsylvania",0.0106
"G4200050","2010",,,"Pennsylvania","42","Armstrong County","005",,,,,,,,,,,,,,,,,"Armstrong County, Pennsylvania",0.4000,"Armstrong County, Pennsylvania",0.0195
"G4200070","2010",,,"Pennsylvania","42","Beaver County","007",,,,,,,,,,,,,,,,,"Beaver County, Pennsylvania",0.4350,"Beaver County, Pennsylvania",0.0173
"G4200110","2010",,,"Pennsylvania","42","Berks County","011",,,,,,,,,,,,,,,,,"Berks County, Pennsylvania",0.4410,"Berks County, Pennsylvania",0.0213
"G4200130","2010",,,"Pennsylvania","42","Blair County","013",,,,,,,,,,,,,,,,,"Blair County, Pennsylvania",0.4450,"Blair County, Pennsylvania",0.0292
"G4200170","2010",,,"Pennsylvania","42","Bucks County","017",,,,,,,,,,,,,,,,,"Bucks County, Pennsylvania",0.4360,"Bucks County, Pennsylvania",0.0137
"G4200190","2010",,,"Pennsylvania","42","Butler County","019",,,,,,,,,,,,,,,,,"Butler County, Pennsylvania",0.4150,"Butler County, Pennsylvania",0.0147
"G4200210","2010",,,"Pennsylvania","42","Cambria County","021",,,,,,,,,,,,,,,,,"Cambria County, Pennsylvania",0.4140,"Cambria County, Pennsylvania",0.0243
"G4200250","2010",,,"Pennsylvania","42","Carbon County","025",,,,,,,,,,,,,,,,,"Carbon County, Pennsylvania",0.3970,"Carbon County, Pennsylvania",0.0286
"G4200270","2010",,,"Pennsylvania","42","Centre County","027",,,,,,,,,,,,,,,,,"Centre County, Pennsylvania",0.4420,"Centre County, Pennsylvania",0.0178
"G4200290","2010",,,"Pennsylvania","42","Chester County","029",,,,,,,,,,,,,,,,,"Chester County, Pennsylvania",0.4390,"Chester County, Pennsylvania",0.0119
"G4200330","2010",,,"Pennsylvania","42","Clearfield County","033",,,,,,,,,,,,,,,,,"Clearfield County, Pennsylvania",0.4100,"Clearfield County, Pennsylvania",0.0211
"G4200370","2010",,,"Pennsylvania","42","Columbia County","037",,,,,,,,,,,,,,,,,"Columbia County, Pennsylvania",0.4580,"Columbia County, Pennsylvania",0.0523
"G4200390","2010",,,"Pennsylvania","42","Crawford County","039",,,,,,,,,,,,,,,,,"Crawford County, Pennsylvania",0.4180,"Crawford County, Pennsylvania",0.0214
"G4200410","2010",,,"Pennsylvania","42","Cumberland County","041",,,,,,,,,,,,,,,,,"Cumberland County, Pennsylvania",0.4190,"Cumberland County, Pennsylvania",0.0189
"G4200430","2010",,,"Pennsylvania","42","Dauphin County","043",,,,,,,,,,,,,,,,,"Dauphin County, Pennsylvania",0.4210,"Dauphin County, Pennsylvania",0.0139
"G4200450","2010",,,"Pennsylvania","42","Delaware County","045",,,,,,,,,,,,,,,,,"Delaware County, Pennsylvania",0.4520,"Delaware County, Pennsylvania",0.0114
"G4200490","2010",,,"Pennsylvania","42","Erie County","049",,,,,,,,,,,,,,,,,"Erie County, Pennsylvania",0.4510,"Erie County, Pennsylvania",0.0143
"G4200510","2010",,,"Pennsylvania","42","Fayette County","051",,,,,,,,,,,,,,,,,"Fayette County, Pennsylvania",0.4360,"Fayette County, Pennsylvania",0.0222
"G4200550","2010",,,"Pennsylvania","42","Franklin County","055",,,,,,,,,,,,,,,,,"Franklin County, Pennsylvania",0.3770,"Franklin County, Pennsylvania",0.0149
"G4200630","2010",,,"Pennsylvania","42","Indiana County","063",,,,,,,,,,,,,,,,,"Indiana County, Pennsylvania",0.4830,"Indiana County, Pennsylvania",0.0335
"G4200690","2010",,,"Pennsylvania","42","Lackawanna County","069",,,,,,,,,,,,,,,,,"Lackawanna County, Pennsylvania",0.4530,"Lackawanna County, Pennsylvania",0.0145
"G4200710","2010",,,"Pennsylvania","42","Lancaster County","071",,,,,,,,,,,,,,,,,"Lancaster County, Pennsylvania",0.4240,"Lancaster County, Pennsylvania",0.0140
"G4200730","2010",,,"Pennsylvania","42","Lawrence County","073",,,,,,,,,,,,,,,,,"Lawrence County, Pennsylvania",0.4250,"Lawrence County, Pennsylvania",0.0205
"G4200750","2010",,,"Pennsylvania","42","Lebanon County","075",,,,,,,,,,,,,,,,,"Lebanon County, Pennsylvania",0.4120,"Lebanon County, Pennsylvania",0.0251
"G4200770","2010",,,"Pennsylvania","42","Lehigh County","077",,,,,,,,,,,,,,,,,"Lehigh County, Pennsylvania",0.4450,"Lehigh County, Pennsylvania",0.0142
"G4200790","2010",,,"Pennsylvania","42","Luzerne County","079",,,,,,,,,,,,,,,,,"Luzerne County, Pennsylvania",0.4570,"Luzerne County, Pennsylvania",0.0174
"G4200810","2010",,,"Pennsylvania","42","Lycoming County","081",,,,,,,,,,,,,,,,,"Lycoming County, Pennsylvania",0.4240,"Lycoming County, Pennsylvania",0.0182
"G4200850","2010",,,"Pennsylvania","42","Mercer County","085",,,,,,,,,,,,,,,,,"Mercer County, Pennsylvania",0.4270,"Mercer County, Pennsylvania",0.0204
"G4200890","2010",,,"Pennsylvania","42","Monroe County","089",,,,,,,,,,,,,,,,,"Monroe County, Pennsylvania",0.4190,"Monroe County, Pennsylvania",0.0209
"G4200910","2010",,,"Pennsylvania","42","Montgomery County","091",,,,,,,,,,,,,,,,,"Montgomery County, Pennsylvania",0.4480,"Montgomery County, Pennsylvania",0.0115
"G4200950","2010",,,"Pennsylvania","42","Northampton County","095",,,,,,,,,,,,,,,,,"Northampton County, Pennsylvania",0.4290,"Northampton County, Pennsylvania",0.0140
"G4200970","2010",,,"Pennsylvania","42","Northumberland County","097",,,,,,,,,,,,,,,,,"Northumberland County, Pennsylvania",0.4100,"Northumberland County, Pennsylvania",0.0162
"G4201010","2010",,,"Pennsylvania","42","Philadelphia County","101",,,,,,,,,,,,,,,,,"Philadelphia County, Pennsylvania",0.5050,"Philadelphia County, Pennsylvania",0.0085
"G4201070","2010",,,"Pennsylvania","42","Schuylkill County","107",,,,,,,,,,,,,,,,,"Schuylkill County, Pennsylvania",0.4150,"Schuylkill County, Pennsylvania",0.0144
"G4201110","2010",,,"Pennsylvania","42","Somerset County","111",,,,,,,,,,,,,,,,,"Somerset County, Pennsylvania",0.4020,"Somerset County, Pennsylvania",0.0170
"G4201250","2010",,,"Pennsylvania","42","Washington County","125",,,,,,,,,,,,,,,,,"Washington County, Pennsylvania",0.4450,"Washington County, Pennsylvania",0.0184
"G4201290","2010",,,"Pennsylvania","42","Westmoreland County","129",,,,,,,,,,,,,,,,,"Westmoreland County, Pennsylvania",0.4270,"Westmoreland County, Pennsylvania",0.0107
"G4201330","2010",,,"Pennsylvania","42","York County","133",,,,,,,,,,,,,,,,,"York County, Pennsylvania",0.3960,"York County, Pennsylvania",0.0114
"G4400030","2010",,,"Rhode Island","44","Kent County","003",,,,,,,,,,,,,,,,,"Kent County, Rhode Island",0.4430,"Kent County, Rhode Island",0.0205
"G4400050","2010",,,"Rhode Island","44","Newport County","005",,,,,,,,,,,,,,,,,"Newport County, Rhode Island",0.4380,"Newport County, Rhode Island",0.0276
"G4400070","2010",,,"Rhode Island","44","Providence County","007",,,,,,,,,,,,,,,,,"Providence County, Rhode Island",0.4750,"Providence County, Rhode Island",0.0130
"G4400090","2010",,,"Rhode Island","44","Washington County","009",,,,,,,,,,,,,,,,,"Washington County, Rhode Island",0.4280,"Washington County, Rhode Island",0.0215
"G4500030","2010",,,"South Carolina","45","Aiken County","003",,,,,,,,,,,,,,,,,"Aiken County, South Carolina",0.4530,"Aiken County, South Carolina",0.0223
"G4500070","2010",,,"South Carolina","45","Anderson County","007",,,,,,,,,,,,,,,,,"Anderson County, South Carolina",0.4580,"Anderson County, South Carolina",0.0210
"G4500130","2010",,,"South Carolina","45","Beaufort County","013",,,,,,,,,,,,,,,,,"Beaufort County, South Carolina",0.4330,"Beaufort County, South Carolina",0.0267
"G4500150","2010",,,"South Carolina","45","Berkeley County","015",,,,,,,,,,,,,,,,,"Berkeley County, South Carolina",0.4030,"Berkeley County, South Carolina",0.0197
"G4500190","2010",,,"South Carolina","45","Charleston County","019",,,,,,,,,,,,,,,,,"Charleston County, South Carolina",0.4950,"Charleston County, South Carolina",0.0165
"G4500310","2010",,,"South Carolina","45","Darlington County","031",,,,,,,,,,,,,,,,,"Darlington County, South Carolina",0.4840,"Darlington County, South Carolina",0.0639
"G4500350","2010",,,"South Carolina","45","Dorchester County","035",,,,,,,,,,,,,,,,,"Dorchester County, South Carolina",0.3980,"Dorchester County, South Carolina",0.0193
"G4500410","2010",,,"South Carolina","45","Florence County","041",,,,,,,,,,,,,,,,,"Florence County, South Carolina",0.4630,"Florence County, South Carolina",0.0311
"G4500450","2010",,,"South Carolina","45","Greenville County","045",,,,,,,,,,,,,,,,,"Greenville County, South Carolina",0.4750,"Greenville County, South Carolina",0.0187
"G4500470","2010",,,"South Carolina","45","Greenwood County","047",,,,,,,,,,,,,,,,,"Greenwood County, South Carolina",0.4730,"Greenwood County, South Carolina",0.0284
"G4500510","2010",,,"South Carolina","45","Horry County","051",,,,,,,,,,,,,,,,,"Horry County, South Carolina",0.4500,"Horry County, South Carolina",0.0196
"G4500570","2010",,,"South Carolina","45","Lancaster County","057",,,,,,,,,,,,,,,,,"Lancaster County, South Carolina",0.4260,"Lancaster County, South Carolina",0.0265
"G4500590","2010",,,"South Carolina","45","Laurens County","059",,,,,,,,,,,,,,,,,"Laurens County, South Carolina",0.4230,"Laurens County, South Carolina",0.0265
"G4500630","2010",,,"South Carolina","45","Lexington County","063",,,,,,,,,,,,,,,,,"Lexington County, South Carolina",0.4250,"Lexington County, South Carolina",0.0211
"G4500730","2010",,,"South Carolina","45","Oconee County","073",,,,,,,,,,,,,,,,,"Oconee County, South Carolina",0.4920,"Oconee County, South Carolina",0.0634
"G4500750","2010",,,"South Carolina","45","Orangeburg County","075",,,,,,,,,,,,,,,,,"Orangeburg County, South Carolina",0.4810,"Orangeburg County, South Carolina",0.0239
"G4500770","2010",,,"South Carolina","45","Pickens County","077",,,,,,,,,,,,,,,,,"Pickens County, South Carolina",0.4270,"Pickens County, South Carolina",0.0230
"G4500790","2010",,,"South Carolina","45","Richland County","079",,,,,,,,,,,,,,,,,"Richland County, South Carolina",0.4660,"Richland County, South Carolina",0.0183
"G4500830","2010",,,"South Carolina","45","Spartanburg County","083",,,,,,,,,,,,,,,,,"Spartanburg County, South Carolina",0.4460,"Spartanburg County, South Carolina",0.0138
"G4500850","2010",,,"South Carolina","45","Sumter County","085",,,,,,,,,,,,,,,,,"Sumter County, South Carolina",0.4280,"Sumter County, South Carolina",0.0247
"G4500910","2010",,,"South Carolina","45","York County","091",,,,,,,,,,,,,,,,,"York County, South Carolina",0.4160,"York County, South Carolina",0.0149
"G4600990","2010",,,"South Dakota","46","Minnehaha County","099",,,,,,,,,,,,,,,,,"Minnehaha County, South Dakota",0.4240,"Minnehaha County, South Dakota",0.0227
"G4601030","2010",,,"South Dakota","46","Pennington County","103",,,,,,,,,,,,,,,,,"Pennington County, South Dakota",0.4450,"Pennington County, South Dakota",0.0327
