GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,RK9E001,RLAE001,RLAE002,RLAE003,RLAE004,RLAE005,RLAE006,RLAE007,RLAE008,RLAE009,RLAE010,NAME_M,RK9M001,RLAM001,RLAM002,RLAM003,RLAM004,RLAM005,RLAM006,RLAM007,RLAM008,RLAM009,RLAM010
"G0100010","2005-2009",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",49584,49584,39215,8854,193,309,0,336,677,56,621,"Autauga County, Alabama",0,0,126,86,92,94,119,116,190,58,172
"G0100030","2005-2009",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",171997,171997,148799,17028,981,980,3,2366,1840,191,1649,"Baldwin County, Alabama",0,0,569,390,197,192,11,537,525,123,517
"G0100050","2005-2009",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",29663,29663,15244,13742,135,27,5,270,240,25,215,"Barbour County, Alabama",0,0,133,129,87,31,8,137,101,29,95
"G0100070","2005-2009",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",21464,21464,16372,4953,21,51,0,0,67,0,67,"Bibb County, Alabama",0,0,212,227,26,64,119,119,55,119,55
"G0100090","2005-2009",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",56804,56804,53846,547,438,247,19,975,732,0,732,"Blount County, Alabama",0,0,433,227,327,234,32,430,299,119,299
"G0100110","2005-2009",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",10917,10917,2668,8193,13,29,0,0,14,0,14,"Bullock County, Alabama",0,0,243,255,21,59,119,119,22,119,22
"G0100130","2005-2009",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",20189,20189,11525,8328,31,118,0,0,187,0,187,"Butler County, Alabama",0,0,109,193,34,141,119,119,126,119,126
"G0100150","2005-2009",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",112969,112969,86819,22155,600,899,74,1101,1321,51,1270,"Calhoun County, Alabama",0,0,352,311,93,115,91,365,310,47,302
"G0100170","2005-2009",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",34704,34704,20951,12947,57,84,0,38,627,54,573,"Chambers County, Alabama",0,0,133,161,52,18,119,52,240,64,255
"G0100190","2005-2009",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",24427,24427,22520,1373,140,43,39,152,160,51,109,"Cherokee County, Alabama",0,0,60,108,50,56,61,109,93,65,72
"G0100210","2005-2009",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",42272,42272,36641,4532,170,58,0,390,481,31,450,"Chilton County, Alabama",0,0,267,227,118,50,119,234,182,44,173
"G0100230","2005-2009",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",14229,14229,7816,6195,0,17,0,37,164,59,105,"Choctaw County, Alabama",0,0,119,184,119,27,119,65,157,69,146
"G0100250","2005-2009",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",26438,26438,14594,11038,358,266,0,30,152,0,152,"Clarke County, Alabama",0,0,133,475,381,224,119,49,82,119,82
"G0100270","2005-2009",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",13769,13769,11280,2014,37,0,0,109,329,0,329,"Clay County, Alabama",0,0,81,142,38,119,119,73,143,119,143
"G0100290","2005-2009",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",14579,14579,13574,781,54,2,0,19,149,10,139,"Cleburne County, Alabama",0,0,148,157,59,3,119,23,88,18,86
"G0100310","2005-2009",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",46802,46802,36411,8475,352,469,17,176,902,81,821,"Coffee County, Alabama",0,0,123,96,92,92,22,90,160,50,157
"G0100330","2005-2009",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",54546,54546,44462,8714,287,218,0,106,759,114,645,"Colbert County, Alabama",0,0,143,190,73,119,119,86,260,110,221
"G0100350","2005-2009",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",13114,13114,7144,5808,85,0,0,0,77,0,77,"Conecuh County, Alabama",0,0,28,151,87,119,119,119,117,119,117
"G0100370","2005-2009",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",10777,10777,7144,3505,0,0,0,15,113,0,113,"Coosa County, Alabama",0,0,119,22,119,119,119,22,119,119,119
"G0100390","2005-2009",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",36688,36688,31116,4586,236,146,47,271,286,11,275,"Covington County, Alabama",0,0,145,100,97,14,52,152,129,23,123
"G0100410","2005-2009",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",13687,13687,10052,2968,83,412,0,0,172,15,157,"Crenshaw County, Alabama",0,0,10,228,30,222,119,119,91,23,87
"G0100430","2005-2009",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",80630,80630,77384,977,342,265,57,385,1220,181,1039,"Cullman County, Alabama",0,0,346,102,115,47,47,231,359,147,373
"G0100450","2005-2009",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",48233,48233,36127,9827,203,698,93,268,1017,43,974,"Dale County, Alabama",0,0,196,222,76,57,136,114,176,30,175
"G0100470","2005-2009",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",42748,42748,13581,28591,74,165,0,247,90,0,90,"Dallas County, Alabama",0,0,59,119,57,20,119,104,69,119,69
"G0100490","2005-2009",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",68183,68183,63861,1047,845,220,0,1343,867,152,715,"DeKalb County, Alabama",0,0,601,188,265,38,119,568,214,195,148
"G0100510","2005-2009",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",76714,76714,57662,16469,285,370,0,1014,914,27,887,"Elmore County, Alabama",0,0,180,223,89,69,119,200,286,21,284
"G0100530","2005-2009",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,"Escambia County, Alabama",37561,37561,23763,11820,1365,167,19,111,316,11,305,"Escambia County, Alabama",0,0,153,92,70,18,29,141,116,18,116
"G0100550","2005-2009",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",103150,103150,85078,15094,361,563,34,625,1395,55,1340,"Etowah County, Alabama",0,0,351,379,230,58,38,296,349,61,345
"G0100570","2005-2009",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Alabama",17651,17651,15137,1999,36,26,0,8,445,113,332,"Fayette County, Alabama",0,0,68,120,36,47,119,12,142,77,130
"G0100590","2005-2009",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Alabama",30847,30847,26423,1205,259,74,126,2376,384,70,314,"Franklin County, Alabama",0,0,483,129,189,64,201,473,157,91,119
"G0100610","2005-2009",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,"Geneva County, Alabama",25800,25800,22467,2680,78,84,0,102,389,53,336,"Geneva County, Alabama",0,0,104,107,58,99,119,72,100,57,76
"G0100630","2005-2009",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Alabama",9112,9112,1827,7167,12,11,0,72,23,0,23,"Greene County, Alabama",0,0,119,124,19,18,119,116,29,119,29
"G0100650","2005-2009",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,"Hale County, Alabama",17994,17994,7315,10562,24,50,0,2,41,0,41,"Hale County, Alabama",0,0,69,76,18,43,119,9,19,119,19
"G0100670","2005-2009",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Alabama",16580,16580,11189,5073,0,189,0,98,31,0,31,"Henry County, Alabama",0,0,111,199,119,183,119,93,31,119,31
"G0100690","2005-2009",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Alabama",97091,97091,69257,24509,487,856,14,841,1127,100,1027,"Houston County, Alabama",0,0,174,183,126,64,15,203,216,48,207
"G0100710","2005-2009",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Alabama",52898,52898,48551,1861,728,97,3,129,1529,13,1516,"Jackson County, Alabama",0,0,111,138,211,47,5,90,249,16,247
"G0100730","2005-2009",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Alabama",662212,662212,368598,269723,1123,8972,429,7811,5556,483,5073,"Jefferson County, Alabama",0,0,1243,575,265,295,48,1260,722,189,699
"G0100750","2005-2009",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar County, Alabama",14438,14438,12623,1735,31,0,0,6,43,0,43,"Lamar County, Alabama",0,0,26,38,34,119,119,11,35,119,35
"G0100770","2005-2009",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",88550,88550,77659,8990,159,398,0,301,1043,74,969,"Lauderdale County, Alabama",0,0,278,214,92,87,119,206,224,61,201
"G0100790","2005-2009",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Alabama",34094,34094,26723,4174,1604,64,0,159,1370,77,1293,"Lawrence County, Alabama",0,0,181,92,250,49,119,164,259,77,263
"G0100810","2005-2009",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Alabama",130669,130669,95296,30317,386,2635,134,469,1432,33,1399,"Lee County, Alabama",0,0,304,351,149,96,197,231,285,34,285
"G0100830","2005-2009",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",74076,74076,61451,9732,375,532,3,1210,773,46,727,"Limestone County, Alabama",0,0,337,209,127,33,5,351,258,50,253
"G0100850","2005-2009",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,"Lowndes County, Alabama",12632,12632,3551,8923,43,3,0,38,74,0,74,"Lowndes County, Alabama",0,0,27,79,39,6,119,39,56,119,56
"G0100870","2005-2009",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,"Macon County, Alabama",22304,22304,3458,18368,63,6,0,48,361,0,361,"Macon County, Alabama",0,0,39,161,58,20,119,42,139,119,139
"G0100890","2005-2009",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Alabama",314047,314047,222107,73908,1425,7348,252,1691,7316,585,6731,"Madison County, Alabama",0,0,506,724,203,253,63,467,819,248,772
"G0100910","2005-2009",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,"Marengo County, Alabama",21210,21210,9854,11209,17,0,0,31,99,0,99,"Marengo County, Alabama",0,0,37,92,20,119,119,39,66,119,66
"G0100930","2005-2009",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Alabama",29415,29415,27553,1093,87,35,0,278,369,0,369,"Marion County, Alabama",0,0,202,71,47,26,119,208,89,119,89
"G0100950","2005-2009",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Alabama",87925,87925,83068,1369,548,414,56,1244,1226,118,1108,"Marshall County, Alabama",0,0,444,167,179,69,61,440,240,78,237
"G0100970","2005-2009",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile County, Alabama",405331,405331,250322,138704,2196,7688,90,2007,4324,277,4047,"Mobile County, Alabama",0,0,468,454,240,255,146,461,501,137,487
"G0100990","2005-2009",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Alabama",22790,22790,12954,9134,284,67,0,7,344,40,304,"Monroe County, Alabama",0,0,83,228,67,13,119,12,223,56,219
"G0101010","2005-2009",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Alabama",224369,224369,98865,118478,728,3136,73,873,2216,297,1919,"Montgomery County, Alabama",0,0,369,346,225,156,57,296,338,141,331
"G0101030","2005-2009",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Alabama",115197,115197,95208,13376,947,833,245,2833,1755,198,1557,"Morgan County, Alabama",0,0,519,321,171,122,229,601,432,192,377
"G0101050","2005-2009",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Alabama",10689,10689,3249,7370,21,0,0,0,49,0,49,"Perry County, Alabama",0,0,119,73,33,119,119,119,66,119,66
"G0101070","2005-2009",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,"Pickens County, Alabama",19528,19528,11110,8299,14,5,0,20,80,0,80,"Pickens County, Alabama",0,0,35,55,16,8,119,24,60,119,60
"G0101090","2005-2009",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Alabama",30136,30136,18045,11134,262,240,0,161,294,3,291,"Pike County, Alabama",0,0,83,61,78,37,119,84,90,6,92
"G0101110","2005-2009",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,"Randolph County, Alabama",22504,22504,17089,4894,56,0,0,47,418,0,418,"Randolph County, Alabama",0,0,131,124,41,119,119,55,185,119,185
"G0101130","2005-2009",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,"Russell County, Alabama",50029,50029,27482,20401,74,400,22,421,1229,135,1094,"Russell County, Alabama",0,0,190,332,56,68,27,185,342,120,328
"G0101150","2005-2009",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",77585,77585,69195,6830,296,316,7,124,817,60,757,"St. Clair County, Alabama",0,0,146,169,106,63,14,132,238,54,226
"G0101170","2005-2009",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,"Shelby County, Alabama",182996,182996,157467,17873,502,2789,0,2651,1714,160,1554,"Shelby County, Alabama",0,0,615,250,139,105,119,635,325,154,289
"G0101190","2005-2009",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,"Sumter County, Alabama",13267,13267,3536,9402,0,24,0,181,124,22,102,"Sumter County, Alabama",0,0,57,172,119,37,119,152,110,52,87
"G0101210","2005-2009",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",80190,80190,53036,25403,207,327,0,536,681,28,653,"Talladega County, Alabama",0,0,151,232,60,61,119,236,197,36,189
"G0101230","2005-2009",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,"Tallapoosa County, Alabama",40778,40778,29520,10454,53,66,0,195,490,48,442,"Tallapoosa County, Alabama",0,0,109,128,42,62,119,107,135,75,114
"G0101250","2005-2009",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",178754,178754,118780,55037,541,1967,74,822,1533,146,1387,"Tuscaloosa County, Alabama",0,0,379,194,157,181,104,367,316,98,297
"G0101270","2005-2009",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",68880,68880,63229,4372,139,89,34,98,919,24,895,"Walker County, Alabama",0,0,156,175,73,105,50,82,182,25,178
"G0101290","2005-2009",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Alabama",17212,17212,11150,4467,1341,68,56,0,130,0,130,"Washington County, Alabama",0,0,59,145,82,72,75,119,100,119,100
"G0101310","2005-2009",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,"Wilcox County, Alabama",12552,12552,3414,9112,0,0,0,0,26,0,26,"Wilcox County, Alabama",0,0,119,32,119,119,119,119,32,119,32
"G0101330","2005-2009",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,"Winston County, Alabama",24190,24190,23534,40,77,23,0,68,448,0,448,"Winston County, Alabama",0,0,54,41,53,30,119,74,90,119,90
"G0200130","2005-2009",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians East Borough, Alaska",2959,2959,412,298,534,1405,10,135,165,0,165,"Aleutians East Borough, Alaska",168,168,107,139,198,352,17,64,65,109,65
"G0200160","2005-2009",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians West Census Area, Alaska",5505,5505,2127,565,401,1528,132,529,223,45,178,"Aleutians West Census Area, Alaska",731,731,484,395,185,304,106,165,121,40,109
"G0200200","2005-2009",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",280389,280389,195537,16531,15796,17965,3235,6594,24731,1406,23325,"Anchorage Municipality, Alaska",0,0,902,848,1026,526,232,866,1491,365,1501
"G0200500","2005-2009",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,"Bethel Census Area, Alaska",17151,17151,2116,32,13795,169,59,0,980,0,980,"Bethel Census Area, Alaska",0,0,64,35,282,96,55,109,276,109,276
"G0200600","2005-2009",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,"Bristol Bay Borough, Alaska",682,682,370,0,170,0,1,0,141,0,141,"Bristol Bay Borough, Alaska",310,310,160,109,117,109,8,109,74,109,74
"G0200680","2005-2009",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,"Denali Borough, Alaska",1529,1529,1388,34,29,6,0,19,53,0,53,"Denali Borough, Alaska",475,475,427,27,23,12,109,27,38,109,38
"G0200700","2005-2009",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,"Dillingham Census Area, Alaska",4946,4946,1025,11,3281,39,18,67,505,15,490,"Dillingham Census Area, Alaska",0,0,9,10,126,24,24,35,125,17,117
"G0200900","2005-2009",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",96843,96843,74545,5522,6658,2378,323,1835,5582,461,5121,"Fairbanks North Star Borough, Alaska",0,0,529,283,467,261,48,528,672,218,663
"G0201000","2005-2009",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,"Haines Borough, Alaska",2424,2424,2062,10,153,0,0,17,182,31,151,"Haines Borough, Alaska",195,195,223,15,99,109,109,74,77,30,77
"G0201050","2005-2009",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,"Hoonah-Angoon Census Area, Alaska",2042,2042,881,0,868,11,11,13,258,4,254,"Hoonah-Angoon Census Area, Alaska",153,153,112,109,98,11,17,15,76,8,76
"G0201100","2005-2009",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,"Juneau City and Borough, Alaska",30777,30777,22052,202,3454,1720,140,558,2651,151,2500,"Juneau City and Borough, Alaska",0,0,227,114,331,124,67,203,390,97,368
"G0201220","2005-2009",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,"Kenai Peninsula Borough, Alaska",53052,53052,45454,315,3651,789,142,370,2331,136,2195,"Kenai Peninsula Borough, Alaska",0,0,193,56,365,103,16,157,362,78,349
"G0201300","2005-2009",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,"Ketchikan Gateway Borough, Alaska",13132,13132,9331,34,1726,774,0,131,1136,59,1077,"Ketchikan Gateway Borough, Alaska",0,0,131,36,275,41,109,108,314,56,306
"G0201500","2005-2009",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,"Kodiak Island Borough, Alaska",13147,13147,7720,100,2018,2652,12,336,309,35,274,"Kodiak Island Borough, Alaska",0,0,271,87,148,223,18,270,140,77,111
"G0201640","2005-2009",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,"Lake and Peninsula Borough, Alaska",1399,1399,439,9,801,18,0,0,132,3,129,"Lake and Peninsula Borough, Alaska",195,195,145,8,160,26,109,109,54,4,54
"G0201700","2005-2009",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",82099,82099,70624,853,3313,818,40,467,5984,272,5712,"Matanuska-Susitna Borough, Alaska",0,0,214,128,328,140,35,149,399,119,377
"G0201800","2005-2009",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,"Nome Census Area, Alaska",9339,9339,1733,200,6660,28,0,57,661,0,661,"Nome Census Area, Alaska",0,0,162,216,336,22,109,49,267,109,267
"G0201850","2005-2009",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,"North Slope Borough, Alaska",6716,6716,905,73,4531,558,30,43,576,55,521,"North Slope Borough, Alaska",0,0,32,69,252,109,45,45,211,58,204
"G0201880","2005-2009",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,"Northwest Arctic Borough, Alaska",7430,7430,900,8,5986,74,7,5,450,3,447,"Northwest Arctic Borough, Alaska",0,0,7,13,105,17,7,8,107,4,107
"G0201950","2005-2009",,,"Alaska","02","Petersburg Census Area","195",,,,,,,,,,,,,,,,,,,,,,,,,,"Petersburg Census Area, Alaska",3862,3862,2757,0,513,133,0,0,459,0,459,"Petersburg Census Area, Alaska",0,0,165,109,143,97,109,109,155,109,155
"G0201980","2005-2009",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,"Prince of Wales-Hyder Census Area, Alaska",5572,5572,2897,0,2188,38,0,49,400,7,393,"Prince of Wales-Hyder Census Area, Alaska",0,0,35,109,111,4,109,31,104,11,104
"G0202200","2005-2009",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,"Sitka City and Borough, Alaska",8811,8811,5770,94,1999,177,0,224,547,30,517,"Sitka City and Borough, Alaska",0,0,88,99,275,162,109,119,260,51,251
"G0202300","2005-2009",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,"Skagway Municipality, Alaska",1071,1071,922,20,34,16,0,0,79,0,79,"Skagway Municipality, Alaska",153,153,108,30,24,15,109,109,42,109,42
"G0202400","2005-2009",,,"Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,,,,,,,,,,,,,"Southeast Fairbanks Census Area, Alaska",6760,6760,5404,180,637,24,19,9,487,11,476,"Southeast Fairbanks Census Area, Alaska",0,0,75,36,90,24,16,15,108,21,107
"G0202610","2005-2009",,,"Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,,,,,,,,,,,,,"Valdez-Cordova Census Area, Alaska",9529,9529,6777,40,1560,486,43,136,487,4,483,"Valdez-Cordova Census Area, Alaska",0,0,50,37,143,91,46,109,138,8,139
"G0202700","2005-2009",,,"Alaska","02","Wade Hampton Census Area","270",,,,,,,,,,,,,,,,,,,,,,,,,,"Wade Hampton Census Area, Alaska",7577,7577,436,0,6781,49,0,0,311,3,308,"Wade Hampton Census Area, Alaska",0,0,109,109,90,32,109,109,91,4,89
"G0202750","2005-2009",,,"Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,,,,,,,,,,,,,"Wrangell City and Borough, Alaska",2168,2168,1443,30,424,0,27,10,234,7,227,"Wrangell City and Borough, Alaska",0,0,170,42,174,109,43,18,95,11,93
"G0202820","2005-2009",,,"Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,,,,,,,,,,,,,"Yakutat City and Borough, Alaska",418,418,174,0,184,7,4,2,47,0,47,"Yakutat City and Borough, Alaska",168,168,85,109,95,7,6,7,27,109,27
"G0202900","2005-2009",,,"Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,,,,,,,,,,,,,"Yukon-Koyukuk Census Area, Alaska",5813,5813,1449,0,3794,16,16,7,531,73,458,"Yukon-Koyukuk Census Area, Alaska",0,0,12,109,95,14,23,9,94,26,95
"G0400010","2005-2009",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,,,,,,,,,"Apache County, Arizona",69341,69341,16082,195,50957,300,30,902,875,139,736,"Apache County, Arizona",0,0,288,108,352,30,27,292,254,88,241
"G0400030","2005-2009",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,,,,,,,,,"Cochise County, Arizona",127613,127613,105718,5372,1368,2341,401,7244,5169,1683,3486,"Cochise County, Arizona",0,0,1026,300,182,204,29,809,640,465,434
"G0400050","2005-2009",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,,,,,,,,,"Coconino County, Arizona",127312,127312,77420,1497,36719,1583,225,6420,3448,766,2682,"Coconino County, Arizona",0,0,855,219,464,139,98,827,559,272,482
"G0400070","2005-2009",,,"Arizona","04","Gila County","007",,,,,,,,,,,,,,,,,,,,,,,,,,"Gila County, Arizona",51850,51850,40571,119,7548,94,142,2440,936,351,585,"Gila County, Arizona",0,0,559,73,261,67,126,535,343,170,286
"G0400090","2005-2009",,,"Arizona","04","Graham County","009",,,,,,,,,,,,,,,,,,,,,,,,,,"Graham County, Arizona",34780,34780,24871,826,5303,178,40,2925,637,291,346,"Graham County, Arizona",0,0,526,38,164,64,49,473,167,104,136
"G0400110","2005-2009",,,"Arizona","04","Greenlee County","011",,,,,,,,,,,,,,,,,,,,,,,,,,"Greenlee County, Arizona",7723,7723,6617,38,185,36,10,646,191,23,168,"Greenlee County, Arizona",0,0,253,44,108,33,15,256,79,26,82
"G0400120","2005-2009",,,"Arizona","04","La Paz County","012",,,,,,,,,,,,,,,,,,,,,,,,,,"La Paz County, Arizona",20055,20055,14184,210,2132,423,21,2768,317,121,196,"La Paz County, Arizona",0,0,499,26,206,170,29,473,147,84,114
